title,id,author,date,doi,type
"biophysical reviews (issue 2 2025): lafebs, alive, kicking, and growing: the story continues..",40376422,"['peluffo rd, itri r, barbosa lr, valle alonso s, gonzalez flecha fl.']",2025,10.1007/s12551-025-01315-9,TypeEnum.ARTICLE
update and admet profile of the latin american natural product database: lanapdb,41369642,"['gomez-garcia a, lavecchia mj, olmedo da, solis pn, medina-franco jl.']",2025,10.1002/minf.70013,TypeEnum.ARTICLE
structure and nanotoxicity of fungal chitin-glucan nanofibrils with gradient acid and alkaline treatments,40159005,"['cadavid j, larranaga a, lizundia e.']",2025,10.1016/j.carbpol.2025.123484,TypeEnum.ARTICLE
promising prodiginins biological activities,40244866,"['ladetto mf, gantner me, rodenak-kladniew be, rodriguez s, cuestas ml, talevi a, castro gr.']",2025,10.1002/cbdv.202402940,TypeEnum.ARTICLE
methods to assess on-farm biosecurity in europe and beyond,40073589,"['duarte f, tamminen lm, kjosevski m, ciaravino g, delpont m, correia-gomes c, van den borne bhp, chantziaras i, alarcon lv, svennesen l, toppari i, piccirillo a, gecaj rm, zbikowski a, nunes t, prodanov-radulovic j, nardi m, nedosekov v, desvars-larrive a, allepuz a.']",2025,10.1016/j.prevetmed.2025.106486,TypeEnum.ARTICLE
ionic self-assembly of redox-active polyelectrolyte-surfactant complexes: mesostructured soft materials for electrochemical nanoarchitectonics,40458735,"['cortez ml, piccinini e, rafti m, marmisolle w, battaglini f, azzaroni o.']",2025,10.1080/14686996.2025.2497309,TypeEnum.ARTICLE
bark and ambrosia beetle communities in hazelnut orchards of italy and georgia,41302894,"['cresta e, di sora n, masturzi r, rossini l, maspero m, kodua m, gregorio t, petrovic m, speranza s, contarini m.']",2025,10.3390/insects16111148,TypeEnum.ARTICLE
primer consenso argentino en esquizofrenia: tercera parte. lineamientos para el abordaje integral del tratamiento,41964543,"['corrales a, abadi a, bartoli g, benavente pinto c, cabrera a, camino s, corral r, delmonte g, garcia bonetto g, garay cj, gargoloff d, gargoloff p, goldchuk a, iveli mf, jufe g, lamaison f, leiderman e, lopez mato a, marengo e, maresca t, michat md, morra c, prokopez c, ramirez j, rebok f, rubio dominguez e, sotelo d, strejilevich s, toro martinez e, vazquez g, vilaprino jj, vilaprino m, waisman campos m, grasso v, cetkovich-bakmas m.']",2026,10.53680/vertex.v37i171.979,TypeEnum.ARTICLE
technological and nutritional characteristics of gluten-free pasta enriched with tomato and linseed by-products,41111897,"['pasini g, arp cg, leo s, brandolini a, estivi l, hidalgo a.']",2025,10.1002/fsn3.71105,TypeEnum.ARTICLE
"allocation patterns and strategies of carbon, nitrogen, and phosphorus densities in three typical desert plants",40508270,"['zhao g, tariq a, mu z, zhang z, graciano c, cong m, dong x, sardans j, al-bakre da, penuelas j, zeng f.']",2025,10.3390/plants14111595,TypeEnum.ARTICLE
