id_document1,id_document2,rules,similarity
10915/173974,None,None,NO_DUPLICATE
10915/173975,None,None,NO_DUPLICATE
10915/173976,None,None,NO_DUPLICATE
10915/173977,None,None,NO_DUPLICATE
10915/173978,None,None,NO_DUPLICATE
10915/173979,None,None,NO_DUPLICATE
10915/173980,None,None,NO_DUPLICATE
10915/173981,None,None,NO_DUPLICATE
10915/173982,None,None,NO_DUPLICATE
10915/173983,None,None,NO_DUPLICATE
10915/173984,None,None,NO_DUPLICATE
10915/173985,None,None,NO_DUPLICATE
10915/173986,None,None,NO_DUPLICATE
10915/173987,None,None,NO_DUPLICATE
10915/173988,None,None,NO_DUPLICATE
10915/173989,None,None,NO_DUPLICATE
10915/173990,None,None,NO_DUPLICATE
10915/173991,None,None,NO_DUPLICATE
10915/173992,None,None,NO_DUPLICATE
10915/173993,None,None,NO_DUPLICATE
10915/173994,None,None,NO_DUPLICATE
10915/173995,None,None,NO_DUPLICATE
10915/173996,None,None,NO_DUPLICATE
10915/173997,None,None,NO_DUPLICATE
10915/173998,None,None,NO_DUPLICATE
10915/173999,None,None,NO_DUPLICATE
10915/174000,None,None,NO_DUPLICATE
10915/174001,None,None,NO_DUPLICATE
10915/174002,None,None,NO_DUPLICATE
10915/174003,None,None,NO_DUPLICATE
10915/174004,None,None,NO_DUPLICATE
10915/174005,None,None,NO_DUPLICATE
10915/174006,None,None,NO_DUPLICATE
10915/174007,None,None,NO_DUPLICATE
10915/174008,None,None,NO_DUPLICATE
10915/174009,None,None,NO_DUPLICATE
10915/174010,None,None,NO_DUPLICATE
10915/174011,None,None,NO_DUPLICATE
10915/174012,None,None,NO_DUPLICATE
10915/174013,None,None,NO_DUPLICATE
10915/174014,None,None,NO_DUPLICATE
10915/174015,None,None,NO_DUPLICATE
10915/174016,None,None,NO_DUPLICATE
10915/174017,None,None,NO_DUPLICATE
10915/174018,None,None,NO_DUPLICATE
10915/174019,None,None,NO_DUPLICATE
10915/174020,None,None,NO_DUPLICATE
10915/174021,None,None,NO_DUPLICATE
10915/174022,None,None,NO_DUPLICATE
10915/174023,None,None,NO_DUPLICATE
10915/174024,None,None,NO_DUPLICATE
10915/174025,None,None,NO_DUPLICATE
10915/174026,None,None,NO_DUPLICATE
10915/174027,None,None,NO_DUPLICATE
10915/174028,None,None,NO_DUPLICATE
10915/174029,None,None,NO_DUPLICATE
10915/174030,None,None,NO_DUPLICATE
10915/174031,None,None,NO_DUPLICATE
10915/174032,None,None,NO_DUPLICATE
10915/174033,None,None,NO_DUPLICATE
10915/174034,None,None,NO_DUPLICATE
10915/174035,None,None,NO_DUPLICATE
10915/174036,None,None,NO_DUPLICATE
10915/174037,None,None,NO_DUPLICATE
10915/174038,None,None,NO_DUPLICATE
10915/174039,None,None,NO_DUPLICATE
10915/174040,None,None,NO_DUPLICATE
10915/174041,None,None,NO_DUPLICATE
10915/174042,None,None,NO_DUPLICATE
10915/174043,None,None,NO_DUPLICATE
10915/174044,None,None,NO_DUPLICATE
10915/174045,None,None,NO_DUPLICATE
10915/174046,None,None,NO_DUPLICATE
10915/174047,None,None,NO_DUPLICATE
10915/174048,None,None,NO_DUPLICATE
10915/174049,None,None,NO_DUPLICATE
10915/174050,None,None,NO_DUPLICATE
10915/174051,None,None,NO_DUPLICATE
10915/174052,None,None,NO_DUPLICATE
10915/174053,None,None,NO_DUPLICATE
10915/174054,None,None,NO_DUPLICATE
10915/174055,None,None,NO_DUPLICATE
10915/174056,None,None,NO_DUPLICATE
10915/174057,None,None,NO_DUPLICATE
10915/174058,None,None,NO_DUPLICATE
10915/174059,None,None,NO_DUPLICATE
10915/174060,None,None,NO_DUPLICATE
10915/174061,None,None,NO_DUPLICATE
10915/174062,None,None,NO_DUPLICATE
10915/174063,None,None,NO_DUPLICATE
10915/174064,None,None,NO_DUPLICATE
10915/174065,None,None,NO_DUPLICATE
10915/174066,None,None,NO_DUPLICATE
10915/174067,None,None,NO_DUPLICATE
10915/174068,None,None,NO_DUPLICATE
