id_koha,titulo,autor,anio_publicacion,tipo_tesis,institucion,anio_titulo
32728,"Escenografía y vestuario para el guión cinematográfico Severino di Giovanni o El fin de una utopía.","Pernía, Patricia",,,,
32933,"Escuela de Administración pública bonaerense. Imágen institucional","Supera, Adrián Alejandro",,,,
32840,"Escuela de Teatro La Plata","Moretti, Gustavo",,,,
43210,"Escuela móvil :","Ashifu, María Susana",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1987
32632,Esmaltes,"Ansaldi, María Celeste",,,,
32594,"Espacio-tiempo plástico, espacio, tiempo sonoro","Fichtenbaum, Marina",,,,
32563,"Espectro plástico del arte ritual Chiriguano-Chané","Izaguirre, Magali",,,,
43261,"Estación de servicio","Garber, Ricardo César",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1979
43115,"Estado actual de la Educación Musical en nuestro país :","Costa, Inés",,"Trabajo final para la carrera de Educación Musical.","Facultad de Bellas Artes. UNLP",1984
41167,"Estética urbana :","Mariñelarena, Patricia Inés María",,,,
39697,"Estética y Bioarte :","Matewecki, Natalia",,,,
39343,"Estética y tecnología del paisaje interior doméstico moderno :","Anderson, Ibar Federico",,"Maestría en Estética y Teoría del Arte.","Universidad Nacional de La Plata. Facultad de Bellas Artes",2008
32502,"Estudios de los peristilos griegos y realcionarlos con el pórtico del Museo de Ciencias Naturales","Almada, Petrona",,,,
32609,"Eventos populares y turísticos en Villa Gessel","Bachmann, Adrian",,,,
32585,"Experiencia de iniciación al canto coral a dos voces con niños en edad escolar","Gorostidi, Susana",,,,
32929,"Facultad de Ciencias Médicas de la ciudad de La Plata. Problema de comunicación","Talio, Gabriela",,,,
43159,"Familia de aspiradoras","Capeletti, Daniel",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1978/79
43118,"Familia de calefactores a leña, carbón y/o residuos","Tetamanti, Eduardo",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1984
